MINE,VEIN,YEAR,index,TONNES,METAL,EQ,ZN,PB,CU,AG,FE,PV,ORDER,RE,RE_OLD,CUTOFF,MINED_A,BUFFER,TYPE,PHASE,CAT1,CAT2,CAT3,CAT4,Tonnes_Waterfall1,Tonnes_Waterfall2,Tonnes_Waterfall3,Tonnes_Waterfall4
Animon,vofe,21_22,22.0,326789.0620321246,1581613.3399744807,4.839860092437862,1.2146197195939006,0.5768340813749111,0.09275624483699173,3.909854024502028,3.3632947417505783e-06,1.2158642605499497,5,4,4,0,all,100,DRE,After Drilling,,,,4,,,,41649.65500190662
Animon,vofe,21_22,22.0,285139.407030218,1448620.32271709,5.080393263788932,1.1030257894209035,0.5986708948046597,0.08447554050299907,4.3298779050743335,3.8545634412355e-06,1.2975098450309293,5,4,4,0,in_situ,100,DRE,After Drilling,,,,4,,,,-18696.022516953526
Animon,vofe,21_22,22.0,303835.4295471715,1017022.6023340792,3.3472811378509197,0.8945000856823968,0.31169724456904396,0.08520343879478424,2.1410838075994696,0.0,0.0,5,4,4,0,all,9999,DRE,Before Drilling,,,,4,,,,
Animon,vofe,21_22,22.0,262858.0934372563,901748.1949354685,3.430551379049373,0.8245919043641821,0.30088692677147955,0.0792732057115962,2.3050725479137095,0.0,0.0,5,4,4,0,in_situ,9999,DRE,Before Drilling,,,,4,,,,
Animon,vofe,21_22,22.0,303835.4295471715,1017022.6023340792,3.3472811378509197,0.8945000856823968,0.31169724456904396,0.08520343879478424,2.1410838075994696,0.0,0.0,5,4,4,0,all,100,DRE,Before Drilling,,,,4,,,,
Animon,vofe,21_22,22.0,262858.0934372563,901748.1949354685,3.430551379049373,0.8245919043641821,0.30088692677147955,0.0792732057115962,2.3050725479137095,0.0,0.0,5,4,4,0,in_situ,100,DRE,Before Drilling,,,,4,,,,
Animon,vofe,21_22,4.0,3081.5924667812506,8153.9286314478095,2.6460113461935664,1.491989142435205,0.7862376270059195,0.035825145249399094,0.5352166926695807,0.0,1.8985242326125946,6,4,-99,0,all,9999,DDDRE,After Drilling,,,,4,3081.5924667812506,,,
Animon,vofe,21_22,4.0,2762.0552900937514,7469.338650424352,2.704268331344961,1.541200578685177,0.8457994065202431,0.03006419538556656,0.47654972274791413,0.0,2.0437175200919264,6,4,-99,0,in_situ,9999,DDDRE,After Drilling,,,,4,2762.0552900937514,,,
Animon,vofe,21_22,4.0,3081.5924667812506,8153.9286314478095,2.6460113461935664,1.491989142435205,0.7862376270059195,0.035825145249399094,0.5352166926695807,0.0,1.8985242326125946,6,4,-99,0,all,100,DDDRE,After Drilling,,,,4,3081.5924667812506,,,
Animon,vofe,21_22,4.0,2762.0552900937514,7469.338650424352,2.704268331344961,1.541200578685177,0.8457994065202431,0.03006419538556656,0.47654972274791413,0.0,2.0437175200919264,6,4,-99,0,in_situ,100,DDDRE,After Drilling,,,,4,2762.0552900937514,,,
Animon,vofe,21_22,23.0,3081.5924667812506,8153.9286314478095,2.6460113461935664,1.491989142435205,0.7862376270059195,0.035825145249399094,0.5352166926695807,0.0,1.8985242326125946,6,4,-99,0,all,9999,DRE,After Drilling,,,,4,,,,3081.5924667812506
