FLAG,BHID,FROM,TO,HOLE_TYP,DEPTH,VEIN,RE,RE_OLD,DRE,DDDRE,MINE,YEAR,PV,PV_OLD,PL,PL_OLD,EQ,EQ_OLD,ZN,PB,AG,EQ_DDH
,DDHUSC22123,28.66,28.96087,1,204.4,vles,4,4,22,8,San Cristobal,22_23,0.080501866,0.080501866,0.01618651,0.476094146,0.20107,5.914075892,0.03,0.02,0.193,0.20107
,DDHUSC22134,23.091129,23.390323,1,173.5,vles,4,4,22,8,San Cristobal,22_23,0.079251,0.079251,0.015934999,0.468749981,0.20107,5.91475163,0.03,0.02,0.193,0.20107
,DDHUSC22175,34.6186555,34.7688445,1,224.6,vles,4,4,22,8,San Cristobal,22_23,0.087250796,0.087250796,0.017543518,0.514504181,0.20107,5.896842276,0.03,0.02,0.193,0.20107
,DDHUSC22151,26.1,26.4,1,181.15,vles,4,4,22,8,San Cristobal,22_23,0.080501866,0.080501866,0.01618651,0.476094146,0.20107,5.914075892,0.03,0.02,0.193,0.20107
,DDHUSC22147,24.332283,24.633071,1,185.9,vles,4,4,22,8,San Cristobal,22_23,0.078631123,0.078631123,0.01581036,0.462094993,0.20107,5.876744173,0.03,0.02,0.193,0.20107
,DDHUSC23113,22.876,23.177,1,126.6,vles,4,4,22,8,San Cristobal,22_23,0.140882675,0.140882675,0.028327279,0.804877548,0.20107,5.713105238,0.03,0.02,0.193,0.20107
,DDHUSC22132,24.1,24.4,1,203.45,vles,4,4,22,8,San Cristobal,22_23,0.078631123,0.078631123,0.01581036,0.462094993,0.20107,5.876744173,0.03,0.02,0.193,0.20107
,DDHUSC22107,10.754237,11.052966,1,117,vles,4,4,22,8,San Cristobal,22_23,0.082226979,0.082226979,0.016533379,0.479195549,0.20107,5.827716866,0.03,0.02,0.193,0.20107
,DDHUSC22110,16.47043,16.769892,1,151.2,vles,4,4,22,8,San Cristobal,22_23,0.079099148,0.079099148,0.015904466,0.462793672,0.20107,5.850804744,0.03,0.02,0.193,0.20107
,DDHUSC22159,41.4,41.7,1,241.2,vles,4,4,22,8,San Cristobal,22_23,0.089014227,0.089014227,0.017898091,0.517488345,0.20107,5.813546469,0.03,0.02,0.193,0.20107
,DDHUSC22108,16.173529,16.473039,1,142.6,vles,4,4,22,8,San Cristobal,22_23,0.079433061,0.079433061,0.015971606,0.464491568,0.20107,5.847584866,0.03,0.02,0.193,0.20107
,DDHUSC22162,20.124815,20.425185,1,177.5,vles,4,4,22,8,San Cristobal,22_23,0.079267689,0.079267689,0.015938354,0.463134042,0.20107,5.842658589,0.03,0.02,0.193,0.20107
,DDHUSC23130,36.6,36.9,1,193.75,vles,4,4,22,8,San Cristobal,22_23,0.150806657,0.150806657,0.030322694,0.881900882,0.20107,5.847890941,0.03,0.02,0.193,0.20107
,DDHUSC23124,35.037433,35.336898,1,195.9,vles,4,4,22,8,San Cristobal,22_23,0.14437587,0.14437587,0.029029656,0.847898647,0.20107,5.872855689,0.03,0.02,0.193,0.20107
,DDHUSC23137,41.330808,41.630303,1,225,vles,4,4,22,8,San Cristobal,22_23,0.141980945,0.141980945,0.028548109,0.852394629,0.20107,6.003584707,0.03,0.02,0.193,0.20107
,DDHUSC22180,322.25,323.45,1,373.6,vsara,3,3,15,7,San Cristobal,22_23,0.223546,0.223546,0.048851284,0.667515401,0.218529,2.986031514,0.03,0.02,0.2151,0.218529
,DDHSSC23098,483.6886364,483.9613636,1,621.4,vmar,4,4,22,8,San Cristobal,22_23,1.033915138,1.033915138,0.207889317,5.040955829,0.20107,4.87559921,0.03,0.02,0.193,0.20107
,DDHSSC23041,389.95,390.25,1,470.4,vmar,3,3,15,7,San Cristobal,22_23,0.440104354,0.440104354,0.088491782,4.591723706,0.20107,10.43326126,0.03,0.02,0.193,0.20107
,DDHSSC22171,307.9655172,308.8844828,1,564.6,vara,3,3,15,7,San Cristobal,22_23,0.667434,0.667434,0.157954953,4.717611061,0.236660034,7.068281,0.048131034,0.02,0.2151,0.236660034
1,DDHUSC22104,33.80365854,34.44634146,1,444.1,vh,1,-99,5,1,San Cristobal,22_23,1.100120366,0,77.07426065,0,70.05984351,0,20.02298293,9.388768293,52.28519756,70.05984351
1,DDHUSC22113,26.98666667,27.36333333,1,110.4,vh,1,-99,5,1,San Cristobal,22_23,0.478686883,0,1.650887183,0,3.448783,0,2.321413333,0.54354,0.787186667,3.448783
1,DDHUSC22116,20.05,20.55,1,75.85,vh,1,-99,5,1,San Cristobal,22_23,0.590167,0,1.114312018,0,1.88813,0,1.1664,0.2211,0.6533,1.88813
1,DDHUSC22118,39.18103448,39.76896552,1,144,vh,1,-99,5,1,San Cristobal,22_23,0.624584467,0,3.105533406,0,4.972159207,0,2.017427586,1.710862069,1.726113793,4.972159207
1,DDHUSC22122,65.5,65.8,1,347.85,vh,3,-99,17,3,San Cristobal,22_23,0.269383135,0,0.893097222,0,3.315342,0,1.82105,0.32395,1.51015,3.315342
1,DDHUSC22148,330.7,331.35,1,366.2,vh,3,-99,17,3,San Cristobal,22_23,0.450537,0,23.46939052,0,52.092038,0,37.0362,3.5303,14.9021,52.092038
1,DDHUSC22158,260.4,260.7,1,315.8,vh,3,-99,17,3,San Cristobal,22_23,0.298167,0,3.071125467,0,10.300018,0,4.1036,3.1,4.1942,10.300018
1,DDHUSC22165,254.6,255.1,1,286.8,vh,2,-99,11,2,San Cristobal,22_23,0.449617964,0,24.93565174,0,55.459643,0,36.1805,9.4985,13.2222,55.459643
1,DDHUSC22169,299.4,299.7,1,338.3,vh,3,-99,17,3,San Cristobal,22_23,0.274033874,0,8.193575851,0,29.899865,0,20.9586,5.7724,4.5227,29.899865
1,DDHUSC22176,19.85,20.15,1,351.25,vh,1,-99,5,1,San Cristobal,22_23,0.383386288,0,12.31946429,0,32.133294,0,29.1192,0.9125,2.7411,32.133294
1,DDHUSC22179,259.4,260.25,1,341.7,vh,3,-99,17,3,San Cristobal,22_23,0.734447035,0,7.986441689,0,10.874088,0,9.2778,0.6242,1.2858,10.874088
1,DDHUSC23001,21.53157895,22.01842105,1,389.5,vh,1,-99,5,1,San Cristobal,22_23,0.806793647,0,27.93011453,0,34.61865947,0,24.3543,5.717147368,6.262547368,34.61865947
1,DDHUSC23012,19.55,19.95,1,340.7,vh,1,-99,5,1,San Cristobal,22_23,0.364118305,0,10.40888322,0,28.586542,0,23.3429,0.6925,5.8223,28.586542
1,DDHUSC23021,301.45,301.75,1,333.7,vh,3,-99,17,3,San Cristobal,22_23,0.302226,0,70.8851668,0,234.543576,0,25.5296,2.8048,261.2728,234.543576
1,DDHUSC23055,64.37647059,64.72352941,1,228.4,vh,1,-99,5,1,San Cristobal,22_23,0.506350426,0,19.08420046,0,37.68970947,0,27.18573529,2.843929412,9.948252941,37.68970947
1,DDHUSC23061,297.5,297.8,1,329.05,vh,3,-99,17,3,San Cristobal,22_23,0.299408109,0,5.195747775,0,17.353397,0,10.1918,1.9367,6.7854,17.353397
1,DDHUSC23062,69.46086957,70.08913043,1,226.85,vh,1,-99,5,1,San Cristobal,22_23,0.343134,0,10.6596605,0,31.065591,0,11.27774348,2.541491304,22.05602609,31.065591
1,DDHUSC23071,47.678,48.472,1,576.4,vh,2,-99,11,2,San Cristobal,22_23,0.703444862,0,3.481373778,0,4.94903576,0,2.235244,1.321712,1.87924,4.94903576
1,DDHUSC23079,302.4,302.9,1,319.75,vh,4,-99,23,4,San Cristobal,22_23,0.644727075,0,1.852919179,0,2.873959,0,1.9777,0.1964,0.9033,2.873959
1,DDHUSC23088,316.3,316.6,1,323.75,vh,2,-99,11,2,San Cristobal,22_23,0.286634,0,6.220035764,0,21.700272,0,17.4795,1.907,3.0978,21.700272
1,DDHUSC23091,31.5,31.9,1,194.2,vh,1,-99,5,1,San Cristobal,22_23,0.499494765,0,9.500990572,0,19.0212015,0,14.98835,2.32895,2.3632,19.0212015
1,DDHUSC23095,25.25,25.55,1,392.5,vh,1,-99,5,1,San Cristobal,22_23,0.348299,0,6.352360405,0,18.238239,0,9.9725,6.8519,2.3968,18.238239
1,DDHUSC23096,325,325.3,1,344.7,vh,2,-99,11,2,San Cristobal,22_23,0.287687135,0,7.225377459,0,25.1154,0,20.0803,1.4262,4.6946,25.1154
1,DDHUSC23103,27.25,27.75,1,480.45,vh,1,-99,5,1,San Cristobal,22_23,0.435669876,0,7.548617123,0,17.326461,0,10.3744,4.6304,3.3491,17.326461
1,DDHUSC23110,23.6,23.95,1,408.35,vh,1,-99,5,1,San Cristobal,22_23,0.3643,0,4.601434684,0,12.630894,0,10.0122,1.3938,1.674,12.630894
1,DDHUSC23121,195.95,196.25,1,245.2,vh,2,-99,11,2,San Cristobal,22_23,0.319408,0,2.763174333,0,8.650924,0,7.3422,0.4673,1.1065,8.650924
1,DDHUSC23126,243.6,243.9,1,270.55,vh,3,-99,17,3,San Cristobal,22_23,0.269892,0,2.673337747,0,9.905213,0,5.4487,0.4856,5.0695,9.905213
1,DDHUSC23133,208.15,208.45,1,239.05,vh,4,-99,23,4,San Cristobal,22_23,0.285574783,0,0.338003171,0,1.183589,0,0.6515,0.2541,0.3744,1.183589
1,DDHUSC23141,227.3,227.9,1,250.35,vh,3,-99,17,3,San Cristobal,22_23,0.539901637,0,17.68328602,0,32.752792,0,20.3333,3.3015,11.8343,32.752792
1,DDHUSC23147,214.1,214.5,1,255.6,vh,2,-99,11,2,San Cristobal,22_23,0.434780609,0,1.428556907,0,3.285696,0,2.6555,0.2986,0.4462,3.285696
,DDHUSC23071,147.8,148.75,1,576.4,vi,4,-99,23,4,San Cristobal,22_23,0.537749,0,0.179247336,0,0.333329,0,0.1448,0.02,0.2151,0.333329
,DDHUSC22122,178.2,178.9,1,347.85,vi,4,-99,23,4,San Cristobal,22_23,0.304916875,0,0.073615776,0,0.241429,0,0.0529,0.02,0.2151,0.241429
,DDHUSC22104,115.23125,115.56875,1,444.1,vi,4,-99,23,4,San Cristobal,22_23,1.261685016,0,1.590273878,0,1.260436525,0,0.7407675,0.2232675,0.394975,1.260436525
,DDHUSC23001,83,83.5,1,389.5,vi,4,-99,23,4,San Cristobal,22_23,0.451827,0,0.098737302,0,0.218529,0,0.03,0.02,0.2151,0.218529
,DDHUSC23012,74.8,75.15,1,340.7,vi,4,-99,23,4,San Cristobal,22_23,0.384858,0,0.084102634,0,0.218529,0,0.03,0.02,0.2151,0.218529
,DDHUSC22113,96.135,96.665,1,110.4,vi,4,-99,23,4,San Cristobal,22_23,1.508158601,0,3.927459607,0,2.6041423,0,1.95574,0.058925,0.751395,2.6041423
